Page,Meta description
https://docs.avitai.bio/artifex/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/configuration/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/extensions/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/factory/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/sampling/,This page documents the live top-level artifex.generative_models.core.sampling package exports.
https://docs.avitai.bio/artifex/api/configs/protein-extension/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/core/base/,"The live base layer is intentionally small. Use it for shared NNX-friendly building blocks, not for a fake universal training API."
https://docs.avitai.bio/artifex/api/core/configuration/,The Artifex configuration backend is built on frozen dataclasses. Public code should prefer artifex.configs for imports and retained config loading.
https://docs.avitai.bio/artifex/api/core/device-manager/,"DeviceManager is Artifex's runtime-facing device helper. It inspects the active JAX runtime, reports the visible devices, selects a default device, and can"
https://docs.avitai.bio/artifex/api/core/losses/,Artifex exposes a curated public surface of functional loss primitives for generative models. Generic shared building blocks use CalibraX where that surface
https://docs.avitai.bio/artifex/api/data/loaders/,API reference for Artifex's data loading system. All datasets use datarax MemorySource as the data container. Pure data generation functions produce
https://docs.avitai.bio/artifex/api/data/protein-dataset/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/datasets/crossdocked/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/extensions/protein/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/models/autoregressive/,Complete API documentation for autoregressive models in Artifex.
https://docs.avitai.bio/artifex/api/models/diffusion/,This page documents the live top-level diffusion package surface.
https://docs.avitai.bio/artifex/api/models/ebm/,This page documents the live energy-model surface.
https://docs.avitai.bio/artifex/api/models/flow/,Complete API documentation for normalizing flow models in Artifex.
https://docs.avitai.bio/artifex/api/models/gan/,Complete API reference for all GAN model classes in Artifex.
https://docs.avitai.bio/artifex/api/models/protein-point-cloud/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/api/models/vae/,This page documents the live top-level VAE package surface.
https://docs.avitai.bio/artifex/api/training/trainer/,API reference for the low-level generic Trainer.
https://docs.avitai.bio/artifex/architecture/extensions/,"ARTIFEX - Architectures + Generative + JAX. A production-ready modular generative modeling library built on JAX/Flax, providing implementations of state-of-the-art generative models (VAEs, GANs, Diffusion Models, Flow Models, etc.) with multi-modal support"
https://docs.avitai.bio/artifex/benchmarks/,"Artifex retains benchmark and evaluation modules, but the public benchmark surface is intentionally narrow. There is no supported public benchmark CLI runner,"
https://docs.avitai.bio/artifex/benchmarks/audio/,Module: benchmarks.metrics.audio
https://docs.avitai.bio/artifex/benchmarks/audio_benchmarks/,Module: benchmarks.datasets.audio_benchmarks
https://docs.avitai.bio/artifex/benchmarks/audio_protocols/,Module: benchmarks.protocols.audio_protocols
https://docs.avitai.bio/artifex/benchmarks/audio_suite/,Module: benchmarks.suites.audio_suite
https://docs.avitai.bio/artifex/benchmarks/base/,Module: benchmarks.model_adapters.base
https://docs.avitai.bio/artifex/benchmarks/benchmark_runner/,Module: benchmarks.cli.benchmark_runner
https://docs.avitai.bio/artifex/benchmarks/caching/,Module: benchmarks.utils.caching
https://docs.avitai.bio/artifex/benchmarks/celeba/,Module: benchmarks.datasets.celeba
https://docs.avitai.bio/artifex/benchmarks/comparison/,Module: benchmarks.visualization.comparison
https://docs.avitai.bio/artifex/benchmarks/core/,Module: benchmarks.protocols.core
https://docs.avitai.bio/artifex/benchmarks/crossdocked/,Module: benchmarks.datasets.crossdocked
https://docs.avitai.bio/artifex/benchmarks/dashboard/,Module: benchmarks.visualization.dashboard
https://docs.avitai.bio/artifex/benchmarks/dataset_loaders/,Module: benchmarks.datasets.dataset_loaders
https://docs.avitai.bio/artifex/benchmarks/disentanglement/,Module: benchmarks.metrics.disentanglement
https://docs.avitai.bio/artifex/benchmarks/diversity/,Module: benchmarks.metrics.diversity
https://docs.avitai.bio/artifex/benchmarks/ffhq/,Module: benchmarks.datasets.ffhq
https://docs.avitai.bio/artifex/benchmarks/geometric/,Module: benchmarks.metrics.geometric
https://docs.avitai.bio/artifex/benchmarks/geometric_suite/,Module: benchmarks.suites.geometric_suite
https://docs.avitai.bio/artifex/benchmarks/image/,Module: benchmarks.metrics.image
https://docs.avitai.bio/artifex/benchmarks/image_benchmarks/,Module: benchmarks.datasets.image_benchmarks
https://docs.avitai.bio/artifex/benchmarks/image_grid/,Module: benchmarks.visualization.image_grid
https://docs.avitai.bio/artifex/benchmarks/image_protocols/,Module: benchmarks.protocols.image_protocols
https://docs.avitai.bio/artifex/benchmarks/image_suite/,Module: benchmarks.suites.image_suite
https://docs.avitai.bio/artifex/benchmarks/image_unified/,Module: benchmarks.metrics.image_unified
https://docs.avitai.bio/artifex/benchmarks/inception_metrics/,Module: benchmarks.metrics.inception_metrics
https://docs.avitai.bio/artifex/benchmarks/latency/,Module: benchmarks.performance.latency
https://docs.avitai.bio/artifex/benchmarks/likelihood/,Module: benchmarks.metrics.likelihood
https://docs.avitai.bio/artifex/benchmarks/memory/,Module: benchmarks.performance.memory
https://docs.avitai.bio/artifex/benchmarks/model_adapters/,Module: benchmarks.model_adapters
https://docs.avitai.bio/artifex/benchmarks/molecular_flows/,Module: benchmarks.metrics.molecular_flows
https://docs.avitai.bio/artifex/benchmarks/multi_beta_vae_suite/,Module: benchmarks.suites.multi_beta_vae_suite
https://docs.avitai.bio/artifex/benchmarks/multimodal_benchmarks/,Module: benchmarks.datasets.multimodal_benchmarks
https://docs.avitai.bio/artifex/benchmarks/multimodal_protocols/,Module: benchmarks.protocols.multimodal_protocols
https://docs.avitai.bio/artifex/benchmarks/multimodal_suite/,Module: benchmarks.suites.multimodal_suite
https://docs.avitai.bio/artifex/benchmarks/optimization/,Module: benchmarks.performance.optimization
https://docs.avitai.bio/artifex/benchmarks/optimization_benchmark/,Module: benchmarks.cli.optimization_benchmark
https://docs.avitai.bio/artifex/benchmarks/optimization_plots/,Module: benchmarks.visualization.optimization_plots
https://docs.avitai.bio/artifex/benchmarks/perplexity/,Module: benchmarks.metrics.perplexity
https://docs.avitai.bio/artifex/benchmarks/plots/,Module: benchmarks.visualization.plots
https://docs.avitai.bio/artifex/benchmarks/precision_recall/,Module: benchmarks.metrics.precision_recall
https://docs.avitai.bio/artifex/benchmarks/protein_adapters/,Module: benchmarks.model_adapters.protein_adapters
https://docs.avitai.bio/artifex/benchmarks/protein_benchmarks/,Module: benchmarks.suites.protein_benchmarks
https://docs.avitai.bio/artifex/benchmarks/protein_dataset/,Module: benchmarks.datasets.protein_dataset
https://docs.avitai.bio/artifex/benchmarks/protein_ligand/,Module: benchmarks.metrics.protein_ligand
https://docs.avitai.bio/artifex/benchmarks/protein_ligand_suite/,Module: benchmarks.suites.protein_ligand_suite
https://docs.avitai.bio/artifex/benchmarks/protein_model_adapters/,Module: benchmarks.protein_model_adapters
https://docs.avitai.bio/artifex/benchmarks/qm9/,Module: benchmarks.datasets.qm9
https://docs.avitai.bio/artifex/benchmarks/registry/,Module: benchmarks.suites.registry
https://docs.avitai.bio/artifex/benchmarks/reporting/,Module: benchmarks.utils.reporting
https://docs.avitai.bio/artifex/benchmarks/sample_quality/,Module: benchmarks.metrics.sample_quality
https://docs.avitai.bio/artifex/benchmarks/scaling/,Module: benchmarks.performance.scaling
https://docs.avitai.bio/artifex/benchmarks/se3_molecular_flows_suite/,Module: benchmarks.suites.se3_molecular_flows_suite
https://docs.avitai.bio/artifex/benchmarks/standard/,Module: benchmarks.suites.standard
https://docs.avitai.bio/artifex/benchmarks/statistical/,Module: benchmarks.utils.statistical
https://docs.avitai.bio/artifex/benchmarks/style_metrics/,Module: benchmarks.metrics.style_metrics
https://docs.avitai.bio/artifex/benchmarks/stylegan3_suite/,Module: benchmarks.suites.stylegan3_suite
https://docs.avitai.bio/artifex/benchmarks/synthetic_datasets/,Module: benchmarks.datasets.synthetic_datasets
https://docs.avitai.bio/artifex/benchmarks/text/,Module: benchmarks.metrics.text
https://docs.avitai.bio/artifex/benchmarks/text_benchmarks/,Module: benchmarks.datasets.text_benchmarks
https://docs.avitai.bio/artifex/benchmarks/text_protocols/,Module: benchmarks.protocols.text_protocols
https://docs.avitai.bio/artifex/benchmarks/text_suite/,Module: benchmarks.suites.text_suite
https://docs.avitai.bio/artifex/benchmarks/throughput/,Module: benchmarks.performance.throughput
https://docs.avitai.bio/artifex/cli/,The retained runtime owners are artifex.cli.__main__ and artifex.cli.config.
https://docs.avitai.bio/artifex/cli/__main__/,Status: Supported runtime CLI surface
https://docs.avitai.bio/artifex/cli/benchmark/,The top-level benchmark command is not currently shipped in the runtime CLI.
https://docs.avitai.bio/artifex/cli/config/,Status: Supported runtime CLI surface
https://docs.avitai.bio/artifex/cli/convert/,The top-level convert command is not currently shipped in the runtime CLI.
https://docs.avitai.bio/artifex/cli/evaluate/,The top-level evaluate command is not currently shipped in the runtime CLI.
https://docs.avitai.bio/artifex/cli/generate/,The top-level generate command is not currently shipped in the runtime CLI.
https://docs.avitai.bio/artifex/cli/serve/,The top-level serve command is not currently shipped in the runtime CLI.
https://docs.avitai.bio/artifex/cli/train/,The top-level train command is not currently shipped in the runtime CLI.
https://docs.avitai.bio/artifex/community/contributing/,"Thank you for your interest in contributing to Artifex! This guide will help you get started with contributing code, documentation, and other improvements."
https://docs.avitai.bio/artifex/community/faq/,Common questions about Artifex and their answers.
https://docs.avitai.bio/artifex/configs/,artifex.configs is the public convenience surface over the typed configuration runtime in artifex.generative_models.core.configuration.
https://docs.avitai.bio/artifex/configs/base/,The base configuration layer is exposed through artifex.configs.
https://docs.avitai.bio/artifex/configs/config_loader/,artifex.configs exposes a small set of typed loader helpers for the retained runtime config assets under src/artifex/configs/.
https://docs.avitai.bio/artifex/configs/data/,DataConfig is the typed dataclass for dataset selection and data-loading behavior.
